#Offered Load (mpps)	avg actual mpps sent	RTT Median (us)	RTT 99th perc.	Avg. CPU Load (cycles)	CPU Load StdDev (cycles)	Interrupts (kHz)
x	load_avg	rtt0	rtt1	rtt2	rtt3	rtt4	cycles_avg	cycles_stderr	rtt_nsamples	nsent	nrecvd	frecvd	irq_avg	irq_stderr	itr_avg	itr_stderr	cycles_per_pkt
1.11328125	1.1140697567567572	4.1216	4.928	5.4656	6.105600000000001	7.244800000000001	0.9997191498764839	1.4195225474972274e-05	206998	123695084	123857909	1.0013163417230067	206.9634490437791	7.374843769435474	nan	nan	2.9612806330875983	
1.19140625	1.1915979411764719	4.134399999999999	5.0048	5.5552	6.208	7.475199999999999	0.9997126708062168	4.721206243411523e-06	191259	122491323	122683844	1.0015717113284832	202.91980804940164	7.356562070766111	nan	nan	2.768594758063564	
1.26953125	1.270304	4.1472	5.0048	5.5808	6.2592	7.4496	0.9997155505508933	3.062576235756134e-07	191300	130615307	130807869	1.0014742682494326	181.2624904663022	5.032137693905392	nan	nan	2.5970644167206807	
1.34765625	1.3484191999999995	4.1472	5.0688	5.6832	6.3744	7.579776000000164	0.9997332307233017	3.253054224023346e-05	195584	141782406	141979524	1.0013902853362497	163.24462774150086	6.265919872986095	nan	nan	2.4466572868340175	
1.42578125	1.4269233267326733	4.1856	5.094399999999999	5.696	6.4256	7.68	0.999713758293338	3.7389230151305494e-06	188269	144518621	144648684	1.000899973990203	140.960524190955	5.824734814830725	nan	nan	2.312006076683948	
1.50390625	1.5041905607476642	4.1728000000000005	5.12	5.7856000000000005	6.5408	7.7951999999999995	0.9997635576933941	4.272749918741252e-05	200719	162138494	162277679	1.0008584327914134	122.17449464526672	5.612036300371242	nan	nan	2.1933522430484533	
1.58203125	1.5822400560747638	4.1856	5.1328000000000005	5.8111999999999995	6.5792	7.974399999999999	0.9998079107471113	3.311212271722835e-05	200735	170587048	170718513	1.0007706622603612	106.7043994017411	5.609338177997282	nan	nan	2.0852500180349156	
1.66015625	1.6622079711538467	4.236800000000001	5.2352	5.977600000000001	6.848	8.3072	0.9997658355116757	6.193708155468976e-05	194536	173656978	173852788	1.0011275677041898	84.81768782993159	2.809330922959134	nan	nan	1.9848462493524932	
1.73828125	1.7384830185185167	4.2623999999999995	5.248	6.0288	6.937600000000001	8.601600000000001	0.999724863840449	9.939183715052724e-06	203024	189472496	189677084	1.0010797767714001	71.61145833982278	3.683677040432252	nan	nan	1.8976843693790402	
1.81640625	1.816806839622642	4.3136	5.3888	6.336	7.4496	9.4208	0.9997314822811046	3.473677138917384e-05	197686	193002001	193127239	1.0006488948267434	53.11159872487541	2.0117615006437033	nan	nan	1.8158858826251911	
1.89453125	1.896763055555556	4.3776	5.6064	6.848	8.268799999999999	10.6496	0.9996889921811589	3.7162730435856454e-05	202368	206064657	206189878	1.000607678200731	33.82805085111679	0.9812296403378298	nan	nan	1.739265041321445	
1.97265625	1.974658666666669	4.4416	5.7728	7.0272	8.3712	10.6112	0.9999039856643893	0.00027901477627560327	207400	219644114	219754908	1.00050442508102	15.794329174413036	0.43224120938909444	nan	nan	1.6710144433531535	
2.05078125	2.052477584905658	4.8	6.144	7.3088	8.473600000000001	181.48710399999916	0.9996975525476645	5.3137996643881184e-06	197880	218305255	218504679	1.0009135098465678	0.30415893013671635	0.08756553061732424	nan	nan	1.60732665129638	
2.12890625	2.129417933962263	2857.3824	2861.504	2863.3088	2865.4592000000002	2874.144128	0.9997083235933807	1.9549655130538254e-07	35350	226476576	221233257	0.97684829445673	0.0012999325985209149	0.00018027027915077328	nan	nan	1.5492672505671778	
2.20703125	2.208414056603775	2855.1168	2859.0336	2860.7744	2862.6688	2871.4233600000002	0.9997082669027779	8.679679823914363e-08	35206	234776144	221212743	0.9422283679725143	0.001224935153392993	0.0001561165464962743	nan	nan	1.4938490682551688	
